Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Taxonomic lineage	EC number
K2QY29	unreviewed	K2QY29_METFP	Uncharacterized protein	A994_10013	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY37	unreviewed	K2QY37_METFP	Uncharacterized protein	A994_10038	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY43	unreviewed	K2QY43_METFP	NADPH-dependent FMN reductase	A994_10063	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY55	unreviewed	K2QY55_METFP	Uncharacterized protein	A994_10113	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY61	unreviewed	K2QY61_METFP	DUF1722 domain-containing protein	A994_10138	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY69	unreviewed	K2QY69_METFP	UPF0292 protein A994_10163	A994_10163	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY82	unreviewed	K2QY82_METFP	Major facilitator superfamily protein	A994_10213	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY88	unreviewed	K2QY88_METFP	Uncharacterized protein	A994_10238	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY92	unreviewed	K2QY92_METFP	Uncharacterized protein	A994_08876	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QY97	unreviewed	K2QY97_METFP	SEC-C motif domain-containing protein	A994_08901	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYA4	unreviewed	K2QYA4_METFP	Uncharacterized protein	A994_08926	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYB1	unreviewed	K2QYB1_METFP	Uncharacterized protein	A994_08951	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYB9	unreviewed	K2QYB9_METFP	Uncharacterized protein	A994_08976	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYC6	unreviewed	K2QYC6_METFP	Uncharacterized protein	A994_09001	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYD8	unreviewed	K2QYD8_METFP	Dihydroorotate dehydrogenase, electron transfer subunit, iron-sulfur cluster binding domain-containing protein	A994_09051	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYF1	unreviewed	K2QYF1_METFP	Aldo_ket_red domain-containing protein	A994_09106	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYF6	unreviewed	K2QYF6_METFP	Nitroreductase	A994_09131	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYG2	unreviewed	K2QYG2_METFP	Malate dehydrogenase	A994_09156	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYI1	unreviewed	K2QYI1_METFP	Transcriptional regulator	A994_09231	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYI4	unreviewed	K2QYI4_METFP	Uncharacterized protein	A994_09256	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYK3	unreviewed	K2QYK3_METFP	Abortive infection protein	A994_09281	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYL2	unreviewed	K2QYL2_METFP	Uncharacterized protein	A994_09306	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYL6	unreviewed	K2QYL6_METFP	Methanogenesis marker protein 7	A994_09331	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYL8	unreviewed	K2QYL8_METFP	Nitro_FeMo-Co domain-containing protein	A994_09356	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYM2	unreviewed	K2QYM2_METFP	Methanogenesis marker protein 10	A994_09381	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYM9	unreviewed	K2QYM9_METFP	Universal stress protein	A994_09456	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYN0	unreviewed	K2QYN0_METFP	Uncharacterized protein	A994_09481	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYN3	unreviewed	K2QYN3_METFP	Methyl-viologen-reducing hydrogenase subunit delta	A994_09506	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYN5	unreviewed	K2QYN5_METFP	Uncharacterized protein	A994_09531	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYN9	unreviewed	K2QYN9_METFP	Putative transcription regulator	A994_08191	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYP5	unreviewed	K2QYP5_METFP	Uncharacterized protein	A994_08241	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYQ3	unreviewed	K2QYQ3_METFP	Acetolactate synthase	A994_08291	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYR1	unreviewed	K2QYR1_METFP	Uncharacterized protein	A994_08341	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYR4	unreviewed	K2QYR4_METFP	Uncharacterized protein	A994_08366	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYS0	unreviewed	K2QYS0_METFP	Glyco_trans_2-like domain-containing protein	A994_08391	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYT1	unreviewed	K2QYT1_METFP	Uncharacterized protein	A994_08466	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYT5	unreviewed	K2QYT5_METFP	Isopropylmalate/isohomocitrate dehydrogenase	A994_08491	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYU0	unreviewed	K2QYU0_METFP	DUF357 domain-containing protein	A994_08516	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYU2	unreviewed	K2QYU2_METFP	Uncharacterized protein	A994_08541	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYU5	unreviewed	K2QYU5_METFP	Uncharacterized protein	A994_08566	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYV9	unreviewed	K2QYV9_METFP	Uncharacterized protein	A994_08666	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYW7	unreviewed	K2QYW7_METFP	ATPase	A994_08716	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYX2	unreviewed	K2QYX2_METFP	Uncharacterized protein	A994_08741	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYX6	unreviewed	K2QYX6_METFP	SAM_MT_TRM5_TYW2 domain-containing protein	A994_08766	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYY0	unreviewed	K2QYY0_METFP	Methanogenesis marker protein 15	A994_08791	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYY6	unreviewed	K2QYY6_METFP	Methanogenesis marker protein 2	A994_08816	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYZ3	unreviewed	K2QYZ3_METFP	Orotate phosphoribosyltransferase	A994_08841	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QYZ7	unreviewed	K2QYZ7_METFP	Uncharacterized protein	A994_08866	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ08	unreviewed	K2QZ08_METFP	Ribosome maturation protein SDO1 homolog	A994_07421	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ14	unreviewed	K2QZ14_METFP	RNA polymerase Rbp10	A994_07446	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ20	unreviewed	K2QZ20_METFP	PadR-like family transcriptional regulator	A994_07471	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ27	unreviewed	K2QZ27_METFP	XRE family transcriptional regulator	A994_07496	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ32	unreviewed	K2QZ32_METFP	Uncharacterized protein	A994_07521	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ37	unreviewed	K2QZ37_METFP	Uncharacterized protein	A994_07546	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ42	unreviewed	K2QZ42_METFP	DUF1801 domain-containing protein	A994_07571	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ49	unreviewed	K2QZ49_METFP	MarR family transcriptional regulator	A994_07596	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ54	unreviewed	K2QZ54_METFP	MarR family transcriptional regulator	A994_07621	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ62	unreviewed	K2QZ62_METFP	Glutamate--cysteine ligase	A994_07646	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ66	unreviewed	K2QZ66_METFP	Uncharacterized protein	A994_07671	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ72	unreviewed	K2QZ72_METFP	TPR-repeat-containing protein	A994_07696	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ78	unreviewed	K2QZ78_METFP	Methyl viologen-reducing hydrogenase subunit delta FlpD-like protein	A994_07721	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ83	unreviewed	K2QZ83_METFP	Methyl-coenzyme M reductase operon protein D	A994_07746	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ88	unreviewed	K2QZ88_METFP	Uncharacterized protein	A994_07771	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ93	unreviewed	K2QZ93_METFP	Cobalt transport protein CbiN	A994_07796	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZ99	unreviewed	K2QZ99_METFP	Radical sam domain protein	A994_07821	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZA5	unreviewed	K2QZA5_METFP	Uncharacterized protein	A994_07846	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZB1	unreviewed	K2QZB1_METFP	Uncharacterized protein	A994_07871	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZB7	unreviewed	K2QZB7_METFP	Uncharacterized protein	A994_07896	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZC3	unreviewed	K2QZC3_METFP	Cobalamin biosynthesis protein N	A994_07921	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZC7	unreviewed	K2QZC7_METFP	PfkB domain-containing protein	A994_07946	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZD4	unreviewed	K2QZD4_METFP	Glyceraldehyde 3-phosphate phosphatase	A994_07971	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZE0	unreviewed	K2QZE0_METFP	Uncharacterized protein	A994_07996	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZF1	unreviewed	K2QZF1_METFP	Uncharacterized protein	A994_08046	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZG2	unreviewed	K2QZG2_METFP	POLIIIAc domain-containing protein	A994_08096	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZG7	unreviewed	K2QZG7_METFP	Uroporphyrinogen-III synthase	A994_08121	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZH3	unreviewed	K2QZH3_METFP	Transglutaminase domain-containing protein	A994_06400	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZI0	unreviewed	K2QZI0_METFP	Fe-S type hydro-lyase tartrate/fumarate beta region	A994_06425	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZI5	unreviewed	K2QZI5_METFP	Phosphatidylglycerophosphatase A	A994_06450	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZJ2	unreviewed	K2QZJ2_METFP	Uncharacterized protein	A994_06475	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZJ4	unreviewed	K2QZJ4_METFP	Pyruvate carboxylase subunit B, EC 6.4.1.1	A994_06500	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.4.1.1
K2QZJ8	unreviewed	K2QZJ8_METFP	Myo-inositol-1-phosphate synthase	A994_06525	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZK2	unreviewed	K2QZK2_METFP	Ferric uptake regulation protein	A994_06550	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZK7	unreviewed	K2QZK7_METFP	Ion transport 2 domain-containing protein	A994_06575	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZL1	unreviewed	K2QZL1_METFP	Uncharacterized protein	A994_06600	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZL6	unreviewed	K2QZL6_METFP	Uncharacterized protein	A994_06625	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZM3	unreviewed	K2QZM3_METFP	TspO and MBR-like protein	A994_06650	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZM7	unreviewed	K2QZM7_METFP	Polysaccharide biosynthesis protein	A994_06675	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZN3	unreviewed	K2QZN3_METFP	Family 2 glycosyl transferase	A994_06700	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZN8	unreviewed	K2QZN8_METFP	Uncharacterized protein	A994_06725	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZP3	unreviewed	K2QZP3_METFP	Cation diffusion facilitator family transporter	A994_06750	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZP9	unreviewed	K2QZP9_METFP	UPF0216 protein A994_06775	A994_06775	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZR0	unreviewed	K2QZR0_METFP	V-type ATP synthase subunit K, EC 3.6.3.14	A994_06825	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.3.14
K2QZR5	unreviewed	K2QZR5_METFP	Uncharacterized protein	A994_06850	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZS1	unreviewed	K2QZS1_METFP	Phosphonate-transporting ATPase	A994_06875	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZS6	unreviewed	K2QZS6_METFP	UPF0145 protein A994_06900	A994_06900	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZT1	unreviewed	K2QZT1_METFP	PRC-barrel domain-containing protein	A994_06925	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZT8	unreviewed	K2QZT8_METFP	Xaa-Pro dipeptidase	A994_06950	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZU4	unreviewed	K2QZU4_METFP	Aspartate/glutamate/uridylate kinase	A994_06975	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZV1	unreviewed	K2QZV1_METFP	Type ii secretion system protein E	A994_07000	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZV8	unreviewed	K2QZV8_METFP	Cobyrinic acid ac-diamide synthase	A994_07025	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZW4	unreviewed	K2QZW4_METFP	Uncharacterized protein	A994_07050	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZW9	unreviewed	K2QZW9_METFP	Phosphohydrolase	A994_07075	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZX7	unreviewed	K2QZX7_METFP	Extracellular phosphate-binding protein	A994_07100	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QZY2	unreviewed	K2QZY2_METFP	Uncharacterized protein	A994_07125	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R005	unreviewed	K2R005_METFP	Uncharacterized protein	A994_07150	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R006	unreviewed	K2R006_METFP	4Fe-4S ferredoxin	A994_07175	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R010	unreviewed	K2R010_METFP	Dihydropteroate synthase-like protein	A994_07200	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R014	unreviewed	K2R014_METFP	Thioredoxin domain-containing protein	A994_07225	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R016	unreviewed	K2R016_METFP	Uncharacterized protein	A994_07250	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R020	unreviewed	K2R020_METFP	Phosphogluconate dehydrogenase, NAD-binding protein	A994_07275	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R023	unreviewed	K2R023_METFP	HxlR family transcriptional regulator	A994_07300	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R027	unreviewed	K2R027_METFP	Methyltransferase	A994_07325	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R030	unreviewed	K2R030_METFP	Two-component hybrid sensor and regulator	A994_07350	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R034	unreviewed	K2R034_METFP	Uncharacterized protein	A994_05336	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R038	unreviewed	K2R038_METFP	Transglut_core3 domain-containing protein	A994_05361	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R041	unreviewed	K2R041_METFP	Uncharacterized protein	A994_05386	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R046	unreviewed	K2R046_METFP	Precorrin-4 C11-methyltransferase	A994_05411	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R052	unreviewed	K2R052_METFP	Uncharacterized protein	A994_05436	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R061	unreviewed	K2R061_METFP	30S ribosomal protein S2	rps2P rps2 A994_05486	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R074	unreviewed	K2R074_METFP	50S ribosomal protein L34e	rpl34e A994_05561	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0A4	unreviewed	K2R0A4_METFP	Pyruvate carboxylase subunit A, EC 6.4.1.1	A994_05711	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.4.1.1
K2R0A8	unreviewed	K2R0A8_METFP	NYN domain-containing protein	A994_05736	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0B3	unreviewed	K2R0B3_METFP	Major facilitator superfamily protein	A994_05761	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0B6	unreviewed	K2R0B6_METFP	Abortive infection protein	A994_05786	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0B9	unreviewed	K2R0B9_METFP	Uncharacterized protein	A994_05811	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0C3	unreviewed	K2R0C3_METFP	Glyoxalase/bleomycin resistance protein/dioxygenase	A994_05836	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0C4	unreviewed	K2R0C4_METFP	Transglutaminase domain-containing protein	A994_12746	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0C8	unreviewed	K2R0C8_METFP	HIGH_NTase1_ass domain-containing protein	A994_12702	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0C9	unreviewed	K2R0C9_METFP	Inorganic diphosphatase, EC 3.6.1.1	A994_05861	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.1.1
K2R0D3	unreviewed	K2R0D3_METFP	Transglutaminase domain-containing protein	A994_12727	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0D4	unreviewed	K2R0D4_METFP	BPL_N domain-containing protein	A994_05886	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0D7	unreviewed	K2R0D7_METFP	Peptidase U32	A994_12598	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0D9	unreviewed	K2R0D9_METFP	Uncharacterized protein	A994_05911	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0E1	unreviewed	K2R0E1_METFP	Glyoxalase/bleomycin resistance protein/dioxygenase	A994_12623	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0E4	unreviewed	K2R0E4_METFP	Uncharacterized protein	A994_05936	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0E5	unreviewed	K2R0E5_METFP	Uncharacterized protein	A994_12648	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0E9	unreviewed	K2R0E9_METFP	Uncharacterized protein	A994_05961	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0F0	unreviewed	K2R0F0_METFP	Thymidylate kinase	A994_12673	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0F3	unreviewed	K2R0F3_METFP	Uncharacterized protein	A994_05986	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0F5	unreviewed	K2R0F5_METFP	Glutamate synthase subunit alpha domain-containing protein	A994_12323	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0F8	unreviewed	K2R0F8_METFP	Roadblock/LC7 family protein	A994_12348	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0F9	unreviewed	K2R0F9_METFP	Uncharacterized protein	A994_06036	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0G2	unreviewed	K2R0G2_METFP	Polysaccharide biosynthesis protein	A994_06061	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0G4	unreviewed	K2R0G4_METFP	Peptidase C60 sortase A and B	A994_12373	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0G5	unreviewed	K2R0G5_METFP	Polysaccharide biosynthesis protein, glycosyltransferase	A994_06086	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0G8	unreviewed	K2R0G8_METFP	Amino-sugar biosynthesis protein	A994_06111	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0H0	unreviewed	K2R0H0_METFP	ZPR1-related zinc finger protein	A994_12398	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0H1	unreviewed	K2R0H1_METFP	PMT_2 domain-containing protein	A994_06136	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0H3	unreviewed	K2R0H3_METFP	Uncharacterized protein	A994_12423	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0H9	unreviewed	K2R0H9_METFP	GntR family transcriptional regulator	A994_06186	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0I3	unreviewed	K2R0I3_METFP	Uncharacterized protein	A994_06211	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0I4	unreviewed	K2R0I4_METFP	Sodium solute transporter superfamily protein	A994_12498	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0I8	unreviewed	K2R0I8_METFP	Uncharacterized protein	A994_12523	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0J0	unreviewed	K2R0J0_METFP	Prenyltransferase	ubiA A994_06246	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0J3	unreviewed	K2R0J3_METFP	Uncharacterized protein	A994_12548	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0J6	unreviewed	K2R0J6_METFP	Uncharacterized protein	A994_06271	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0J8	unreviewed	K2R0J8_METFP	PMT_2 domain-containing protein	A994_12573	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0K3	unreviewed	K2R0K3_METFP	AMP-binding domain protein	A994_11926	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0K4	unreviewed	K2R0K4_METFP	Uncharacterized protein	A994_06296	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0K8	unreviewed	K2R0K8_METFP	FeS_assembly_P domain-containing protein	A994_11951	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0L0	unreviewed	K2R0L0_METFP	ABC transporter	A994_06321	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0L3	unreviewed	K2R0L3_METFP	Ferredoxin	A994_11976	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0L6	unreviewed	K2R0L6_METFP	Uncharacterized protein	A994_06346	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0M1	unreviewed	K2R0M1_METFP	Uncharacterized protein	A994_12001	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0M7	unreviewed	K2R0M7_METFP	Ku domain-containing protein	A994_12026	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0M8	unreviewed	K2R0M8_METFP	Bifunctional phosphomannomutase/phosphoglucomutase, EC 5.4.2.2	A994_04035	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.4.2.2
K2R0N3	unreviewed	K2R0N3_METFP	Cupin	A994_04060	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0N5	unreviewed	K2R0N5_METFP	Uncharacterized protein	A994_12051	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0N6	unreviewed	K2R0N6_METFP	2-oxoacid:acceptor oxidoreductase subunit alpha	A994_04085	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0P3	unreviewed	K2R0P3_METFP	Sodium/hydrogen exchanger	A994_12076	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0P5	unreviewed	K2R0P5_METFP	Uncharacterized protein	A994_04135	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0P9	unreviewed	K2R0P9_METFP	Zn-dependent hydrolase	A994_12101	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0Q3	unreviewed	K2R0Q3_METFP	Uncharacterized protein	A994_12126	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0Q8	unreviewed	K2R0Q8_METFP	Uncharacterized protein	A994_12151	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0R1	unreviewed	K2R0R1_METFP	Biopolymer transport protein ExbD/TolR	A994_04210	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0R3	unreviewed	K2R0R3_METFP	Iron-sulfur protein	A994_12176	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0S1	unreviewed	K2R0S1_METFP	Uncharacterized protein	A994_12201	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0S4	unreviewed	K2R0S4_METFP	Uncharacterized protein	A994_12226	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0S7	unreviewed	K2R0S7_METFP	DUF4268 domain-containing protein	A994_12251	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0T3	unreviewed	K2R0T3_METFP	RelA_SpoT domain-containing protein	A994_12276	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0T7	unreviewed	K2R0T7_METFP	Deoxyribonuclease/rho motif-related TRAM	A994_12301	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0U1	unreviewed	K2R0U1_METFP	PINc domain-containing protein	A994_11402	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0U7	unreviewed	K2R0U7_METFP	Uncharacterized protein	A994_04385	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0U8	unreviewed	K2R0U8_METFP	CRISPR-associated protein CXXC_CXXC region	A994_11427	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0V1	unreviewed	K2R0V1_METFP	MarR family transcriptional regulator	A994_04410	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0V6	unreviewed	K2R0V6_METFP	Uncharacterized protein	A994_04435	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0V7	unreviewed	K2R0V7_METFP	5-formyltetrahydrofolate cyclo-ligase	A994_11477	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0W0	unreviewed	K2R0W0_METFP	Signal transduction histidine kinase	A994_04460	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0W1	unreviewed	K2R0W1_METFP	Uncharacterized protein	A994_11502	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0W5	unreviewed	K2R0W5_METFP	30S ribosomal protein S17e	rps17E rps17e A994_11527	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0W6	unreviewed	K2R0W6_METFP	Major facilitator superfamily protein	A994_04485	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0X0	unreviewed	K2R0X0_METFP	Group 1 glycosyl transferase	A994_11552	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0X1	unreviewed	K2R0X1_METFP	Uncharacterized protein	A994_04510	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R0X5	unreviewed	K2R0X5_METFP	Sensory transduction regulatory protein	A994_11577	Methanobacterium formicicum (strain DSM 3637 / PP1)		
